run_id,train_size,seed,image_id,tp,fp,fn,precision_standard,recall_standard,f1_standard,precision_legacy,recall_legacy,f1_legacy,result_image
baseline_B2_sobel_xy_threshold_morph_cc,0,0,359,81,61813,1519,0.0013086890,0.0506250000,0.0025514222,0.0013086890,0.0506250000,0.0025514222,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B2_sobel_xy_threshold_morph_cc_primary200_crack_00359.png
baseline_B2_sobel_xy_threshold_morph_cc,0,0,360,93,48352,1082,0.0019197028,0.0791489362,0.0037484885,0.0019197028,0.0791489362,0.0037484885,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B2_sobel_xy_threshold_morph_cc_primary200_crack_00360.png
baseline_B2_sobel_xy_threshold_morph_cc,0,0,361,374,81923,2041,0.0045445156,0.1548654244,0.0088299178,0.0045445156,0.1548654244,0.0088299178,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B2_sobel_xy_threshold_morph_cc_primary200_crack_00361.png
baseline_B2_sobel_xy_threshold_morph_cc,0,0,362,4360,95191,5661,0.0437966469,0.4350863187,0.0795823751,0.0437966469,0.4350863187,0.0795823751,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B2_sobel_xy_threshold_morph_cc_primary200_crack_00362.png
baseline_B2_sobel_xy_threshold_morph_cc,0,0,363,1057,68163,2607,0.0152701531,0.2884825328,0.0290049942,0.0152701531,0.2884825328,0.0290049942,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B2_sobel_xy_threshold_morph_cc_primary200_crack_00363.png
baseline_B2_sobel_xy_threshold_morph_cc,0,0,364,1948,81196,5114,0.0234292312,0.2758425375,0.0431900317,0.0234292312,0.2758425375,0.0431900317,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B2_sobel_xy_threshold_morph_cc_primary200_crack_00364.png
baseline_B2_sobel_xy_threshold_morph_cc,0,0,365,2528,109260,4607,0.0226142341,0.3543097407,0.0425149046,0.0226142341,0.3543097407,0.0425149046,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B2_sobel_xy_threshold_morph_cc_primary200_crack_00365.png
baseline_B2_sobel_xy_threshold_morph_cc,0,0,366,792,138023,1504,0.0057054353,0.3449477352,0.0112252057,0.0057054353,0.3449477352,0.0112252057,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B2_sobel_xy_threshold_morph_cc_primary200_crack_00366.png
baseline_B2_sobel_xy_threshold_morph_cc,0,0,367,400,145949,910,0.0027331926,0.3053435115,0.0054178885,0.0027331926,0.3053435115,0.0054178885,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B2_sobel_xy_threshold_morph_cc_primary200_crack_00367.png
baseline_B2_sobel_xy_threshold_morph_cc,0,0,368,8299,119732,3858,0.0648202388,0.6826519701,0.1183981511,0.0648202388,0.6826519701,0.1183981511,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B2_sobel_xy_threshold_morph_cc_primary200_crack_00368.png
baseline_B2_sobel_xy_threshold_morph_cc,0,0,369,2707,145747,880,0.0182346047,0.7546696404,0.0356088160,0.0182346047,0.7546696404,0.0356088160,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B2_sobel_xy_threshold_morph_cc_primary200_crack_00369.png
baseline_B2_sobel_xy_threshold_morph_cc,0,0,370,3939,94780,4590,0.0399011335,0.4618360886,0.0734559153,0.0399011335,0.4618360886,0.0734559153,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B2_sobel_xy_threshold_morph_cc_primary200_crack_00370.png
