baseline_id,stage,candidate_id,gaussian_k,gaussian_sigma,median_k,canny_t1,canny_t2,sobel_k,threshold,erode_r,dilate_r,cc_area,cc_aspect,mean_f1,std_f1,min_f1,max_f1,mean_precision,mean_recall,invalid_images,elapsed_sec,stage_winner,final_winner
B0,stage1_full,63,7.0000000000,1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,70.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.3272907736,0.3283630755,0.0000000000,0.8595995893,0.4629101603,0.4443052112,0,0.0030829000,0,0
B0,stage1_full,64,7.0000000000,1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,90.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.3156540611,0.2809080835,0.0000000000,0.8732668450,0.4713451480,0.5210468219,0,0.0033635000,0,0
B0,stage1_full,65,7.0000000000,1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,110.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.3539272842,0.2371909099,0.0332345672,0.8605628558,0.3418322852,0.6685081030,0,0.0024006000,0,0
B0,stage1_full,66,7.0000000000,1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,130.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.1370301328,0.0939234054,0.0251666330,0.4215955652,0.0775078805,0.8756658631,0,0.0023561000,0,0
B0,stage1_full,67,7.0000000000,1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,150.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.0646790739,0.0590188444,0.0127452040,0.1978421109,0.0345241087,0.9644687085,0,0.0022096000,0,0
B0,stage1_full,68,7.0000000000,1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,170.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.0566395605,0.0531252651,0.0108894569,0.1772422619,0.0299856698,0.9855176501,0,0.0023905000,0,0
B0,stage1_full,69,7.0000000000,1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,190.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.0541630123,0.0490674206,0.0108713094,0.1626541646,0.0285260939,0.9946719601,0,0.0025910000,0,0
B0,stage1_full,70,7.0000000000,1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,210.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.0526592888,0.0466544049,0.0108682030,0.1533023512,0.0276520189,0.9980658390,0,0.0021086000,0,0
B0,stage1_full,71,7.0000000000,1.5000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,30.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.1998892525,0.2042205750,0.0000000000,0.5609034422,0.5297562107,0.1335088468,0,0.0028235000,0,0
B0,stage1_full,72,7.0000000000,1.5000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,50.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.3483626522,0.3190163134,0.0000000000,0.7943622921,0.4639878579,0.3475662837,0,0.0023455000,0,0
